@relation ps_c8_a_15_t_all
@attribute RON real 
@attribute MON real 
@attribute OLF real 
@attribute AROMA real 
@attribute AR_BNZ real
@attribute MMTBE  real 

@attribute class {100, 101, 201, 202, 203, 301, 302, 401}

@data
95.20, 85.60, 10.60, 26.10, 0.24, 13.50, 301 
95.20, 85.60, 10.60, 26.10, 0.24, 13.50, 301 
96.50, 86.90, 10.60, 25.90, 0.38, 12.40, 301 
95.00, 85.30, 10.70, 24.80, 0.32, 16.00, 301 
97.00, 86.90, 10.80, 25.70, 0.23, 12.90, 301 
95.50, 85.10, 10.90, 26.50, 0.43, 15.30, 301 
95.50, 85.40, 10.90, 33.80, 0.78, 5.90, 301 
95.20, 84.70, 10.90, 27.50, 0.43, 15.20, 301 
95.10, 85.50, 11.40, 25.40, 0.26, 13.80, 301 
95.30, 85.30, 11.50, 24.30, 0.44, 14.70, 301 
95.00, 85.40, 9.40, 25.70, 0.70, 13.30, 301 
95.50, 86.20, 11.80, 26.50, 0.51, 13.00, 301 
95.80, 86.10, 11.90, 26.30, 0.42, 12.60, 301 
96.00, 86.00, 12.10, 27.50, 0.63, 12.80, 301 
96.20, 86.20, 12.20, 27.90, 0.56, 13.10, 301 
96.00, 85.90, 12.30, 27.90, 0.67, 13.10, 301 
96.30, 86.50, 12.80, 27.40, 0.65, 13.80, 301 
95.50, 86.00, 11.80, 27.80, 0.53, 12.40, 301 
95.90, 85.60, 12.70, 29.70, 0.77, 11.00, 301 
96.10, 86.00, 13.30, 26.90, 0.59, 12.40, 301 
96.10, 86.20, 13.40, 28.60, 0.61, 13.30, 301 
96.30, 85.80, 13.40, 26.70, 0.55, 12.90, 301 
96.20, 86.30, 14.50, 27.70, 0.59, 13.70, 301 
97.60, 86.60, 16.10, 29.10, 0.42, 13.20, 301 
99.40, 87.30, 5.50, 33.40, 0.12, 15.20, 401 
99.10, 87.20, 5.90, 35.30, 0.32, 17.10, 401 
98.30, 88.20, 5.90, 35.90, 0.50, 13.90, 401 
98.90, 88.20, 8.20, 34.50, 0.49, 13.80, 401 
78.90, 76.20, 3.00, 19.70, 3.55, 0.90, 100 
76.40, 77.70, 6.00, 22.80, 3.75, 0.70, 100 
83.00, 83.80, 6.00, 16.70, 3.21, 0.60, 100 
76.80, 75.20, 2.10, 13.80, 3.43, 1.00, 100 
78.60, 76.50, 2.20, 16.70, 3.70, 1.00, 100 
76.70, 78.00, 5.10, 21.40, 3.76, 0.30, 100 
75.00, 77.60, 5.60, 19.90, 3.67, 0.60, 100 
75.40, 77.70, 5.70, 20.10, 3.63, 0.40, 100 
79.70, 80.10, 5.00, 22.20, 3.76, 0.30, 100 
80.10, 76.00, 2.70, 22.00, 3.71, 0.80, 100 
79.50, 76.70, 3.80, 19.50, 3.43, 1.00, 100 
