@relation ps_c8_a_13_t_11-12
@attribute RON real 
@attribute MON real 
@attribute OLF real 
@attribute AROMA real 
@attribute AR_BNZ real
@attribute MOX real 
@attribute MMETANOL real 
@attribute METANOL real 
@attribute MMTBE  real 
@attribute METBE real 
@attribute MTAME real 
@attribute MDIPE  real 
@attribute MTBS real 

@attribute class {100, 101, 201, 202, 203, 301, 302, 401}

@data
94.40, 84.60, 15.00, 30.60, 0.97, 0.15, 0.00, 0.00, 0.80, 0.00, 0.00, 0.00, 0.00, 201 
96.80, 87.10, 10.10, 31.70, 0.93, 0.98, 0.00, 0.00, 5.10, 0.00, 0.00, 0.30, 2.00, 302 
92.90, 84.20, 11.00, 29.60, 0.80, 0.46, 0.00, 0.00, 2.20, 0.00, 0.00, 0.40, 0.00, 302 
96.00, 86.30, 10.90, 33.30, 0.96, 0.96, 0.00, 0.00, 4.90, 0.00, 0.00, 0.20, 0.00, 302 
96.00, 86.30, 10.90, 33.30, 0.96, 0.96, 0.00, 0.00, 4.90, 0.00, 0.20, 0.20, 0.00, 302 
96.10, 86.40, 11.20, 32.20, 0.97, 0.96, 0.00, 0.00, 5.10, 0.00, 0.00, 0.20, 0.00, 302 
93.30, 83.80, 1.50, 35.50, 0.14, 0.37, 0.00, 0.00, 0.40, 0.00, 0.80, 1.10, 0.00, 202 
93.30, 83.60, 10.10, 35.30, 0.09, 0.40, 0.00, 0.00, 0.30, 0.30, 0.80, 1.10, 0.00, 202 
93.10, 83.70, 10.70, 35.70, 0.08, 0.42, 0.00, 0.00, 0.40, 0.00, 0.90, 1.30, 0.00, 202 
92.80, 85.10, 3.00, 42.00, 0.32, 0.12, 0.00, 0.00, 0.00, 0.40, 0.00, 0.40, 0.00, 202 
94.20, 85.70, 0.40, 4.70, 0.13, 0.18, 0.00, 0.00, 0.20, 0.50, 0.00, 0.40, 0.00, 202 
94.80, 85.40, 13.30, 33.70, 0.05, 0.25, 0.00, 0.00, 0.00, 0.40, 0.60, 0.60, 0.00, 202 
93.90, 83.80, 13.60, 34.10, 0.14, 0.24, 0.00, 0.00, 0.20, 0.00, 0.60, 0.70, 0.00, 202 
95.60, 84.90, 8.80, 35.70, 0.61, 1.13, 0.00, 0.00, 4.50, 0.70, 0.70, 0.00, 6.00, 301 
95.60, 84.30, 10.80, 35.60, 0.67, 1.45, 0.00, 0.20, 6.10, 0.60, 0.80, 0.00, 6.00, 301 
97.60, 86.60, 11.60, 34.60, 0.78, 1.12, 0.00, 0.00, 5.60, 0.20, 0.00, 0.00, 5.00, 301 
96.20, 85.70, 12.10, 33.50, 0.85, 1.16, 0.00, 0.00, 6.00, 0.00, 0.00, 0.00, 3.00, 301 
96.30, 85.40, 13.00, 33.60, 0.71, 1.27, 0.00, 0.00, 6.20, 0.00, 0.00, 0.00, 6.00, 301 
96.10, 85.50, 13.60, 33.10, 0.72, 1.27, 0.00, 0.00, 6.70, 0.00, 0.00, 0.00, 2.00, 301 
94.80, 84.90, 8.10, 33.30, 0.49, 1.81, 0.00, 0.00, 8.70, 0.40, 0.00, 10.00, 0.00, 301 
94.30, 85.30, 9.20, 25.40, 0.30, 2.70, 0.00, 0.00, 15.30, 0.00, 1.10, 1.20, 0.00, 301 
94.60, 84.60, 9.50, 26.20, 0.27, 3.21, 0.00, 0.00, 15.50, 0.00, 1.10, 1.30, 0.00, 301 
94.60, 85.50, 9.90, 23.60, 0.47, 3.35, 0.00, 0.00, 16.30, 0.00, 1.10, 1.30, 0.00, 301 
94.50, 86.50, 10.00, 24.50, 0.27, 3.31, 0.00, 0.00, 16.10, 0.00, 1.10, 1.30, 0.00, 301 
93.20, 84.70, 10.70, 22.20, 0.21, 3.22, 0.00, 0.00, 15.40, 0.00, 1.30, 1.30, 0.00, 301 
94.40, 84.80, 10.90, 25.00, 0.30, 3.21, 0.00, 0.00, 15.50, 0.00, 1.10, 1.30, 0.00, 301 
96.50, 85.90, 13.70, 29.40, 0.71, 2.00, 0.00, 0.00, 10.60, 0.00, 0.00, 0.00, 3.00, 301 
96.40, 85.80, 13.90, 27.80, 0.62, 2.18, 0.00, 0.00, 11.60, 0.00, 0.00, 0.00, 3.00, 301 
97.00, 85.00, 14.10, 33.80, 0.76, 1.56, 0.00, 0.00, 7.80, 0.00, 0.00, 0.00, 6.00, 301 
96.10, 84.80, 14.30, 31.10, 0.61, 1.24, 0.00, 0.00, 6.30, 0.00, 0.00, 0.00, 4.00, 301 
96.40, 85.80, 14.30, 28.60, 0.65, 2.09, 0.00, 0.00, 10.90, 0.00, 0.00, 0.20, 3.00, 301 
96.30, 85.60, 14.60, 33.90, 0.71, 1.70, 0.00, 0.20, 8.30, 0.00, 0.00, 0.30, 3.00, 301 
94.30, 85.40, 8.40, 23.90, 0.32, 3.12, 0.00, 0.00, 15.20, 0.00, 1.00, 1.20, 0.00, 301 
97.50, 85.30, 10.00, 25.10, 0.29, 3.26, 0.00, 0.00, 15.90, 0.00, 1.10, 1.20, 0.00, 301 
94.70, 85.10, 10.10, 25.60, 0.34, 3.15, 0.00, 0.00, 15.30, 0.00, 1.10, 1.20, 0.00, 301 
93.60, 84.70, 10.30, 23.40, 0.33, 3.17, 0.00, 0.00, 15.30, 0.00, 1.20, 1.20, 0.00, 301 
94.90, 85.50, 10.50, 24.30, 0.35, 3.15, 0.00, 0.00, 15.30, 0.00, 1.10, 1.20, 0.00, 301 
94.50, 84.80, 10.90, 27.00, 0.20, 3.18, 0.00, 0.00, 15.30, 0.00, 1.20, 1.30, 0.00, 301 
96.20, 85.60, 14.30, 32.00, 0.68, 1.27, 0.00, 0.00, 6.60, 0.00, 0.00, 0.00, 3.00, 301 
96.80, 86.00, 14.50, 33.50, 0.78, 1.75, 0.00, 0.20, 8.80, 0.00, 0.00, 0.00, 3.00, 301 
97.00, 85.90, 17.40, 29.40, 0.54, 1.53, 0.00, 0.00, 8.00, 0.00, 0.00, 0.00, 3.00, 301 
96.70, 85.20, 17.70, 30.10, 0.63, 1.20, 0.00, 0.00, 6.30, 0.00, 0.00, 0.00, 2.00, 301 
97.00, 85.90, 18.00, 29.20, 0.55, 1.42, 0.00, 0.00, 7.40, 0.00, 0.00, 0.00, 3.00, 301 
95.50, 85.90, 9.50, 28.20, 0.41, 2.71, 0.00, 0.00, 12.70, 0.60, 1.10, 0.80, 0.00, 301 
96.70, 86.80, 10.20, 22.70, 0.32, 3.10, 0.00, 0.00, 15.00, 0.00, 1.40, 0.90, 0.00, 301 
94.80, 85.40, 10.40, 24.90, 0.35, 3.08, 0.00, 0.00, 15.00, 0.00, 1.00, 1.20, 0.00, 301 
94.10, 85.60, 10.70, 24.50, 0.39, 2.83, 0.00, 0.00, 13.90, 0.00, 0.90, 1.00, 0.00, 301 
93.50, 84.40, 11.10, 24.60, 0.19, 3.27, 0.00, 0.00, 15.70, 0.00, 1.30, 1.30, 0.00, 301 
95.10, 84.70, 11.20, 28.70, 0.28, 3.15, 0.00, 0.00, 15.10, 0.00, 1.20, 1.30, 0.00, 301 
96.00, 85.00, 12.40, 27.30, 0.48, 3.30, 0.00, 0.00, 16.00, 0.00, 1.20, 1.20, 0.00, 301 
94.40, 85.60, 10.10, 24.50, 0.35, 3.02, 0.00, 0.00, 14.90, 0.00, 1.00, 0.90, 0.00, 301 
94.30, 85.50, 10.30, 24.70, 0.35, 3.02, 0.00, 0.00, 14.90, 0.00, 1.00, 0.90, 0.00, 301 
93.90, 85.50, 10.40, 24.40, 0.39, 2.75, 0.00, 0.00, 13.50, 0.00, 0.90, 0.90, 0.00, 301 
94.90, 85.00, 10.50, 24.30, 0.37, 3.04, 0.00, 0.00, 15.00, 0.00, 1.00, 0.90, 0.00, 301 
93.70, 85.30, 10.50, 24.50, 0.31, 2.67, 0.00, 0.00, 13.10, 0.00, 0.90, 0.90, 0.00, 301 
95.00, 85.00, 10.80, 23.80, 0.32, 3.20, 0.00, 0.00, 15.90, 0.00, 1.00, 0.90, 0.00, 301 
94.70, 85.20, 11.10, 24.00, 0.33, 3.00, 0.00, 0.00, 14.80, 0.00, 0.90, 1.00, 0.00, 301 
94.70, 85.20, 11.10, 24.00, 0.33, 3.00, 0.00, 0.00, 14.80, 0.00, 0.90, 1.00, 0.00, 301 
94.80, 85.30, 11.20, 24.60, 0.34, 3.07, 0.00, 0.00, 15.10, 0.00, 1.00, 1.00, 0.00, 301 
95.70, 86.20, 10.00, 25.20, 0.11, 2.79, 0.00, 0.00, 13.10, 0.60, 1.30, 0.60, 0.00, 301 
94.80, 85.20, 10.10, 25.80, 0.12, 2.80, 0.00, 0.00, 13.60, 0.40, 1.00, 0.60, 0.00, 301 
95.20, 85.60, 10.60, 26.10, 0.24, 2.76, 0.00, 0.00, 13.50, 0.40, 0.80, 0.70, 0.00, 301 
95.20, 85.60, 10.60, 26.10, 0.24, 2.76, 0.00, 0.00, 13.50, 0.40, 0.80, 0.70, 0.00, 301 
96.50, 86.90, 10.60, 25.90, 0.38, 2.59, 0.00, 0.00, 12.40, 0.40, 0.90, 0.80, 0.00, 301 
95.00, 85.30, 10.70, 24.80, 0.32, 3.30, 0.00, 0.00, 16.00, 0.30, 1.50, 0.60, 0.00, 301 
97.00, 86.90, 10.80, 25.70, 0.23, 2.77, 0.00, 0.00, 12.90, 0.80, 1.30, 0.50, 0.00, 301 
95.50, 85.10, 10.90, 26.50, 0.43, 3.19, 0.00, 0.00, 15.30, 0.90, 1.00, 0.60, 0.00, 301 
95.50, 85.40, 10.90, 33.80, 0.78, 1.30, 0.00, 0.30, 5.90, 0.00, 0.00, 0.40, 0.00, 301 
95.20, 84.70, 10.90, 27.50, 0.43, 3.22, 0.00, 0.00, 15.20, 1.10, 1.20, 0.50, 0.00, 301 
95.10, 85.50, 11.40, 25.40, 0.26, 2.82, 0.00, 0.00, 13.80, 0.50, 0.90, 0.60, 0.00, 301 
95.30, 85.30, 11.50, 24.30, 0.44, 3.01, 0.00, 0.00, 14.70, 0.00, 1.30, 0.80, 0.00, 301 
95.00, 85.40, 9.40, 25.70, 0.70, 2.52, 0.00, 0.00, 13.30, 0.00, 0.30, 0.30, 0.00, 301 
95.50, 86.20, 11.80, 26.50, 0.51, 2.43, 0.00, 0.00, 13.00, 0.00, 0.00, 0.40, 0.00, 301 
95.80, 86.10, 11.90, 26.30, 0.42, 2.36, 0.00, 0.00, 12.60, 0.00, 0.00, 0.40, 0.00, 301 
96.00, 86.00, 12.10, 27.50, 0.63, 2.41, 0.00, 0.00, 12.80, 0.00, 0.00, 0.50, 0.00, 301 
96.20, 86.20, 12.20, 27.90, 0.56, 2.44, 0.00, 0.00, 13.10, 0.00, 0.00, 0.30, 0.00, 301 
96.00, 85.90, 12.30, 27.90, 0.67, 2.45, 0.00, 0.00, 13.10, 0.00, 0.00, 0.40, 0.00, 301 
96.30, 86.50, 12.80, 27.40, 0.65, 2.59, 0.00, 0.00, 13.80, 0.00, 0.00, 0.50, 0.00, 301 
95.50, 86.00, 11.80, 27.80, 0.53, 2.47, 0.00, 0.30, 12.40, 0.00, 0.40, 0.00, 0.00, 301 
95.90, 85.60, 12.70, 29.70, 0.77, 2.05, 0.00, 0.00, 11.00, 0.00, 0.30, 0.00, 0.00, 301 
96.10, 86.00, 13.30, 26.90, 0.59, 2.32, 0.00, 0.00, 12.40, 0.00, 0.00, 0.40, 0.00, 301 
96.10, 86.20, 13.40, 28.60, 0.61, 2.56, 0.00, 0.20, 13.30, 0.00, 0.00, 0.40, 0.00, 301 
96.30, 85.80, 13.40, 26.70, 0.55, 2.46, 0.00, 0.20, 12.90, 0.00, 0.00, 0.20, 0.00, 301 
96.20, 86.30, 14.50, 27.70, 0.59, 2.58, 0.00, 0.00, 13.70, 0.00, 0.00, 0.50, 0.00, 301 
97.60, 86.60, 16.10, 29.10, 0.42, 2.45, 0.00, 0.20, 13.20, 0.00, 0.00, 0.20, 0.00, 301 
99.40, 87.30, 5.50, 33.40, 0.12, 3.17, 0.00, 0.00, 15.20, 1.00, 1.10, 0.40, 0.00, 401 
99.10, 87.20, 5.90, 35.30, 0.32, 3.50, 0.00, 0.00, 17.10, 0.00, 1.10, 1.30, 0.00, 401 
98.30, 88.20, 5.90, 35.90, 0.50, 2.61, 0.00, 0.00, 13.90, 0.00, 0.00, 0.50, 0.00, 401 
98.90, 88.20, 8.20, 34.50, 0.49, 2.90, 0.10, 0.10, 13.80, 0.00, 0.00, 0.40, 1.00, 401 
78.90, 76.20, 3.00, 19.70, 3.55, 0.59, 0.00, 0.00, 0.90, 0.00, 1.30, 1.40, 0.00, 100 
76.40, 77.70, 6.00, 22.80, 3.75, 0.54, 0.00, 0.00, 0.70, 0.00, 1.20, 1.50, 0.00, 100 
83.00, 83.80, 6.00, 16.70, 3.21, 0.58, 0.00, 0.00, 0.60, 0.00, 1.30, 1.70, 0.00, 100 
76.80, 75.20, 2.10, 13.80, 3.43, 0.69, 0.00, 0.00, 1.00, 0.00, 1.60, 1.60, 0.00, 100 
78.60, 76.50, 2.20, 16.70, 3.70, 0.66, 0.00, 0.00, 1.00, 0.00, 1.40, 1.60, 0.00, 100 
76.70, 78.00, 5.10, 21.40, 3.76, 0.48, 0.00, 0.00, 0.30, 0.00, 1.10, 1.50, 0.00, 100 
75.00, 77.60, 5.60, 19.90, 3.67, 0.58, 0.00, 0.00, 0.60, 0.00, 1.20, 1.80, 0.00, 100 
75.40, 77.70, 5.70, 20.10, 3.63, 0.56, 0.00, 0.00, 0.40, 0.00, 1.30, 1.80, 0.00, 100 
79.70, 80.10, 5.00, 22.20, 3.76, 0.43, 0.00, 0.00, 0.30, 0.00, 1.10, 1.30, 0.00, 100 
80.10, 76.00, 2.70, 22.00, 3.71, 0.56, 0.00, 0.00, 0.80, 0.00, 1.30, 1.30, 0.00, 100 
79.50, 76.70, 3.80, 19.50, 3.43, 0.59, 0.00, 0.00, 1.00, 0.00, 1.20, 1.40, 0.00, 100 
82.30, 81.30, 4.80, 21.40, 3.59, 0.50, 0.00, 0.00, 0.50, 0.00, 1.20, 1.40, 0.00, 100 
78.30, 79.00, 5.10, 21.20, 3.64, 0.52, 0.00, 0.00, 0.70, 0.00, 1.10, 1.40, 0.00, 100 
76.60, 78.30, 5.10, 23.20, 4.25, 0.47, 0.00, 0.00, 0.40, 0.00, 1.10, 1.40, 0.00, 100 
75.70, 78.00, 5.40, 19.90, 3.63, 0.50, 0.00, 0.00, 0.40, 0.00, 1.20, 1.50, 0.00, 100 
76.30, 77.70, 5.40, 22.40, 3.76, 0.47, 0.00, 0.00, 0.40, 0.00, 1.10, 1.40, 0.00, 100 
75.20, 77.70, 5.60, 20.20, 3.58, 0.47, 0.00, 0.00, 0.40, 0.00, 1.10, 1.40, 0.00, 100 
73.60, 77.10, 5.80, 20.00, 3.53, 0.52, 0.00, 0.00, 0.40, 0.00, 1.20, 1.60, 0.00, 100 
74.30, 77.40, 5.80, 23.20, 3.43, 0.55, 0.00, 0.00, 0.50, 0.00, 1.30, 1.60, 0.00, 100 
75.50, 77.80, 6.20, 19.90, 3.28, 0.58, 0.00, 0.00, 0.60, 0.00, 1.30, 1.70, 0.00, 100 
80.40, 77.10, 2.80, 20.90, 3.45, 0.54, 0.00, 0.00, 0.80, 0.00, 1.30, 1.20, 0.00, 100 
82.10, 77.00, 3.10, 28.00, 3.83, 0.48, 0.00, 0.00, 0.70, 0.00, 1.00, 1.20, 0.00, 100 
80.30, 76.80, 3.20, 23.10, 3.54, 0.53, 0.00, 0.00, 0.70, 0.00, 1.30, 1.20, 0.00, 100 
82.00, 78.10, 3.50, 23.20, 3.50, 0.49, 0.00, 0.00, 0.80, 0.00, 1.00, 1.20, 0.00, 100 
80.90, 76.80, 3.60, 26.30, 3.64, 0.51, 0.00, 0.00, 0.70, 0.00, 1.20, 1.20, 0.00, 100 
80.00, 77.00, 3.80, 24.40, 3.61, 0.51, 0.00, 0.00, 0.70, 0.00, 1.20, 1.20, 0.00, 100 
81.60, 77.40, 3.90, 25.40, 3.69, 0.49, 0.00, 0.00, 0.70, 0.00, 1.10, 1.20, 0.00, 100 
81.30, 76.80, 3.90, 28.90, 3.74, 0.49, 0.00, 0.00, 0.70, 0.00, 1.10, 1.20, 0.00, 100 
80.40, 76.90, 4.10, 22.70, 3.52, 0.54, 0.00, 0.00, 0.80, 0.00, 1.20, 1.30, 0.00, 100 
80.90, 77.00, 4.20, 24.60, 3.75, 0.54, 0.00, 0.00, 0.80, 0.00, 1.20, 1.30, 0.00, 100 
81.20, 77.10, 4.20, 26.30, 3.64, 0.54, 0.00, 0.00, 0.80, 0.00, 1.20, 1.30, 0.00, 100 
81.30, 77.20, 4.20, 25.20, 3.63, 0.51, 0.00, 0.00, 0.00, 0.00, 1.20, 1.20, 0.00, 100 
73.80, 77.20, 5.90, 20.00, 3.58, 0.55, 0.00, 0.00, 0.50, 0.00, 1.30, 1.60, 0.00, 100 
76.10, 77.80, 5.90, 21.80, 3.80, 0.57, 0.00, 0.00, 0.60, 0.00, 1.30, 1.60, 0.00, 100 
75.40, 77.80, 6.10, 24.70, 4.24, 0.53, 0.00, 0.00, 0.50, 0.00, 1.20, 1.60, 0.00, 100 
82.00, 76.80, 3.00, 28.40, 3.74, 0.44, 0.00, 0.00, 0.60, 0.00, 1.10, 1.10, 0.00, 100 
79.90, 75.50, 1.10, 23.80, 3.45, 0.42, 0.00, 0.00, 0.40, 0.00, 1.20, 1.00, 0.00, 100 
80.20, 76.30, 1.50, 23.90, 3.30, 0.43, 0.00, 0.00, 0.50, 0.00, 1.10, 1.00, 0.00, 100 
82.10, 76.60, 1.50, 29.60, 3.85, 0.38, 0.00, 0.00, 0.40, 0.00, 0.90, 0.90, 0.00, 100 
82.10, 77.60, 2.80, 28.40, 3.82, 0.46, 0.00, 0.00, 0.60, 0.00, 1.10, 1.10, 0.00, 100 
81.70, 77.30, 2.90, 27.30, 3.87, 0.48, 0.00, 0.00, 0.60, 0.00, 1.20, 1.10, 0.00, 100 
82.00, 77.60, 3.40, 25.40, 3.72, 0.48, 0.00, 0.00, 0.70, 0.00, 1.10, 1.10, 0.00, 100 
75.90, 77.20, 4.60, 24.20, 3.77, 0.32, 0.00, 0.00, 0.00, 0.00, 0.80, 1.20, 0.00, 100 
75.20, 77.50, 4.80, 20.90, 3.29, 0.48, 0.00, 0.00, 0.70, 0.00, 1.00, 1.20, 0.00, 100 
78.50, 80.30, 5.10, 19.20, 3.86, 0.47, 0.00, 0.00, 0.50, 0.00, 1.20, 1.30, 0.00, 100 
