@relation ps001_c8_a16_t_10-11
@attribute RON real 
@attribute MON real 
@attribute OLF real 
@attribute ALK real
@attribute AROMA real 
@attribute AR_BNZ real
@attribute AR_KS real
@attribute AR_TL real
@attribute MOX real 
@attribute MMETANOL real 
@attribute METANOL real 
@attribute MMTBE  real 
@attribute METBE real 
@attribute MTAME real 
@attribute MDIPE  real 
@attribute MTBS real 

@attribute class {100, 101, 201, 202, 203, 301, 302, 401}

@data
95.80, 85.20, 15.20, 43.80, 34.50, 0.21, 7.60, 10.90, 1.16, 0.00, 0.00, 5.20, 0.90, 0.40, 0.00, 0.00, 301 
96.60, 86.50, 14.70, 46.70, 34.30, 0.16, 9.00, 12.10, 0.76, 0.00, 0.00, 3.50, 0.80, 0.00, 0.00, 0.00, 301 
97.20, 86.50, 16.60, 42.60, 33.00, 0.29, 8.40, 11.10, 1.47, 0.00, 0.30, 7.30, 0.30, 0.00, 0.00, 0.00, 301 
97.80, 86.80, 17.60, 40.90, 32.40, 0.26, 9.80, 9.40, 1.69, 0.00, 0.30, 8.40, 0.30, 0.00, 0.00, 0.00, 301 
94.90, 86.50, 9.10, 53.40, 28.60, 0.26, 7.90, 8.80, 1.60, 0.00, 0.00, 8.40, 0.00, 0.40, 0.00, 0.00, 301 
94.60, 85.40, 11.10, 50.10, 23.80, 0.32, 5.60, 7.90, 2.71, 0.00, 0.00, 13.50, 0.00, 1.50, 0.00, 0.00, 301 
98.30, 86.10, 4.30, 52.50, 31.70, 0.33, 7.70, 8.30, 2.13, 0.00, 0.00, 10.50, 0.00, 1.30, 0.00, 0.00, 301 
94.50, 86.40, 12.90, 50.70, 22.40, 0.37, 5.80, 8.20, 2.53, 0.00, 0.00, 12.80, 0.00, 1.25, 0.00, 0.00, 301 
95.00, 86.50, 13.10, 50.40, 22.00, 0.31, 6.10, 7.70, 2.63, 0.00, 0.00, 13.70, 0.00, 0.80, 0.00, 0.00, 301 
95.50, 86.00, 13.50, 48.60, 23.90, 0.34, 6.10, 8.30, 2.56, 0.00, 0.00, 13.60, 0.00, 0.50, 0.00, 0.00, 301 
95.70, 86.60, 13.50, 50.30, 31.80, 0.24, 7.90, 12.20, 0.77, 0.00, 0.00, 3.90, 0.00, 0.00, 0.40, 0.00, 301 
95.50, 84.50, 12.50, 47.70, 34.80, 0.04, 8.00, 10.50, 0.87, 0.00, 0.00, 2.70, 1.70, 0.70, 0.00, 0.00, 301 
95.40, 85.80, 13.40, 48.00, 24.20, 0.30, 5.90, 8.30, 2.59, 0.00, 0.00, 13.60, 0.00, 0.70, 0.00, 0.00, 301 
95.20, 85.70, 12.40, 50.60, 26.00, 0.21, 6.70, 8.50, 1.99, 0.00, 0.00, 10.30, 0.00, 0.70, 0.00, 0.00, 301 
95.60, 87.60, 11.50, 50.30, 26.00, 0.40, 7.10, 8.00, 2.21, 0.00, 0.00, 11.40, 0.30, 0.50, 0.00, 0.00, 301 
96.00, 85.90, 11.30, 51.40, 26.80, 0.46, 7.70, 8.40, 1.91, 0.00, 0.00, 10.30, 0.00, 0.00, 0.20, 0.00, 301 
95.10, 85.40, 11.90, 50.40, 22.00, 0.34, 5.50, 7.60, 2.84, 0.00, 0.00, 14.50, 0.00, 1.20, 0.00, 0.00, 301 
95.10, 86.70, 14.10, 50.60, 24.10, 0.58, 5.90, 8.60, 2.05, 0.00, 0.00, 10.70, 0.00, 0.60, 0.00, 0.00, 301 
96.90, 90.30, 9.40, 55.80, 22.70, 0.25, 5.40, 7.70, 2.18, 0.00, 0.00, 10.80, 0.40, 0.90, 0.00, 0.00, 301 
95.40, 85.60, 13.20, 48.70, 21.60, 0.36, 5.50, 7.50, 2.98, 0.00, 0.00, 15.20, 0.00, 1.10, 0.00, 0.00, 301 
95.00, 85.70, 12.70, 49.60, 20.70, 0.35, 5.30, 7.50, 3.09, 0.00, 0.00, 15.70, 0.00, 1.20, 0.20, 0.00, 301 
95.10, 84.70, 10.70, 47.00, 27.60, 0.30, 6.80, 8.00, 2.66, 0.00, 0.00, 13.80, 0.00, 0.70, 0.20, 0.00, 301 
97.40, 87.60, 11.70, 49.40, 26.80, 0.40, 7.30, 7.80, 2.17, 0.00, 0.00, 10.50, 0.50, 1.10, 0.00, 0.00, 301 
95.10, 86.80, 11.70, 49.80, 26.60, 0.46, 7.30, 8.20, 2.17, 0.00, 0.00, 11.70, 0.20, 0.00, 0.00, 0.00, 301 
96.30, 89.90, 11.20, 51.40, 24.80, 0.46, 6.90, 7.00, 2.27, 0.00, 0.00, 11.50, 0.60, 0.30, 0.20, 0.00, 301 
94.80, 86.40, 10.30, 51.20, 25.30, 0.28, 5.90, 9.70, 2.38, 0.00, 0.00, 12.00, 0.20, 1.00, 0.00, 0.00, 301 
96.10, 87.00, 12.00, 49.50, 27.00, 0.35, 7.50, 8.40, 2.09, 0.00, 0.00, 11.30, 0.20, 0.00, 0.00, 0.00, 301 
99.10, 89.20, 7.20, 44.60, 35.30, 0.41, 7.70, 16.80, 2.33, 0.00, 0.00, 11.80, 0.00, 1.10, 0.00, 0.00, 401 
87.10, 81.00, 1.20, 60.40, 37.10, 3.20, 8.70, 11.50, 0.21, 0.00, 0.00, 0.00, 0.00, 0.60, 0.70, 0.00, 101 
85.80, 80.90, 3.90, 57.20, 38.60, 3.64, 9.50, 12.10, 0.12, 0.00, 0.00, 0.30, 0.00, 0.00, 0.40, 0.00, 101 
73.60, 77.80, 3.50, 81.90, 10.00, 1.46, 1.80, 2.50, 0.82, 0.00, 0.00, 2.80, 0.00, 1.30, 0.60, 0.00, 101 
73.40, 77.90, 4.00, 82.50, 8.70, 1.72, 1.80, 2.80, 0.82, 0.00, 0.00, 2.90, 0.00, 1.10, 0.70, 0.00, 101 
75.20, 79.80, 5.30, 80.30, 10.20, 1.39, 1.80, 2.60, 0.73, 0.00, 0.00, 2.70, 0.90, 0.30, 0.30, 0.00, 101 
71.40, 77.80, 5.30, 79.80, 10.70, 1.50, 2.00, 2.80, 0.73, 0.00, 0.00, 2.60, 0.00, 1.20, 0.40, 0.00, 101 
74.70, 78.70, 6.00, 78.70, 11.10, 1.79, 2.60, 3.20, 0.73, 0.00, 0.00, 2.60, 0.00, 1.00, 0.60, 0.00, 101 
75.00, 77.20, 6.80, 79.80, 9.70, 1.52, 3.10, 3.40, 0.65, 0.00, 0.00, 2.20, 0.00, 0.70, 0.60, 2.00, 101 
72.50, 77.00, 6.30, 79.40, 10.60, 1.65, 2.60, 3.40, 0.65, 0.00, 0.00, 2.40, 0.00, 0.90, 0.40, 0.00, 101 
74.00, 76.90, 5.50, 81.40, 9.50, 1.74, 2.80, 3.90, 0.65, 0.00, 0.00, 2.20, 0.00, 0.70, 0.60, 2.00, 101 
75.80, 77.80, 1.60, 76.70, 19.80, 3.63, 3.70, 7.20, 0.31, 0.00, 0.00, 0.00, 0.00, 0.90, 0.80, 0.00, 100 
72.10, 77.30, 5.00, 77.80, 12.80, 1.68, 2.20, 3.00, 0.77, 0.00, 0.00, 2.70, 0.00, 1.20, 0.50, 0.00, 101 
74.00, 76.60, 3.70, 80.30, 10.90, 1.40, 1.60, 2.30, 0.87, 0.00, 0.00, 3.30, 0.00, 1.10, 0.60, 0.00, 101 
74.80, 78.10, 4.10, 81.90, 9.00, 1.93, 2.00, 2.70, 0.87, 0.00, 0.00, 3.00, 0.00, 1.20, 0.80, 0.00, 101 
72.90, 78.20, 6.00, 78.80, 11.80, 2.08, 2.90, 3.50, 0.59, 0.00, 0.00, 2.10, 0.70, 0.20, 0.40, 0.00, 101 
78.70, 78.30, 2.10, 74.90, 21.10, 3.60, 4.40, 7.80, 0.31, 0.00, 0.00, 0.30, 0.00, 0.90, 0.80, 0.00, 100 
75.50, 77.80, 4.90, 73.10, 21.10, 4.09, 4.30, 7.80, 0.13, 0.00, 0.00, 0.00, 0.00, 0.20, 0.60, 0.00, 100 
76.00, 77.80, 5.20, 70.70, 23.30, 4.18, 4.60, 8.70, 0.13, 0.00, 0.00, 0.00, 0.00, 0.20, 0.60, 0.00, 100 
80.80, 78.20, 5.50, 66.00, 27.40, 3.79, 6.70, 9.60, 0.15, 0.00, 0.00, 0.30, 0.00, 0.00, 0.60, 0.00, 100 
75.40, 77.70, 2.40, 72.80, 23.20, 3.51, 4.40, 8.40, 0.25, 0.00, 0.00, 0.00, 0.00, 0.90, 0.70, 0.00, 100 
75.90, 77.70, 1.40, 73.60, 23.30, 4.06, 4.40, 7.50, 0.27, 0.00, 0.00, 0.00, 0.00, 0.90, 0.80, 0.00, 100 
77.40, 78.80, 5.80, 71.40, 22.00, 3.61, 4.60, 8.10, 0.14, 0.00, 0.00, 0.00, 0.00, 0.20, 0.60, 0.00, 100 
80.40, 76.90, 5.40, 59.50, 33.10, 4.24, 6.20, 11.20, 0.34, 0.00, 0.00, 1.10, 0.00, 0.30, 0.60, 0.00, 100 
78.70, 76.80, 5.40, 66.80, 25.70, 4.33, 4.50, 7.90, 0.36, 0.00, 0.00, 1.10, 0.00, 0.30, 0.70, 0.00, 100 
76.90, 77.70, 5.20, 68.30, 26.10, 3.70, 6.10, 9.50, 0.08, 0.00, 0.00, 0.00, 0.00, 0.20, 0.50, 0.00, 100 
77.20, 78.60, 5.60, 72.30, 21.60, 3.59, 4.60, 8.00, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.60, 0.00, 100 
77.50, 78.40, 5.40, 72.20, 21.80, 3.54, 5.00, 7.80, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.60, 0.00, 100 
77.00, 78.20, 5.10, 71.10, 23.20, 3.99, 5.00, 8.60, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.60, 0.00, 100 
75.80, 78.00, 2.50, 73.10, 22.50, 3.79, 4.40, 7.60, 0.29, 0.00, 0.00, 0.00, 0.00, 1.00, 0.80, 0.00, 100 
77.00, 76.90, 1.30, 70.60, 25.80, 4.03, 4.50, 7.40, 0.45, 0.20, 0.00, 0.30, 0.00, 1.00, 0.80, 0.00, 100 
92.50, 83.50, 10.60, 58.50, 30.60, 0.77, 6.50, 5.40, 0.05, 0.00, 0.00, 0.30, 0.00, 0.00, 0.00, 0.00, 201 
92.60, 83.60, 11.20, 58.70, 29.80, 0.79, 6.60, 5.50, 0.05, 0.00, 0.00, 0.30, 0.00, 0.00, 0.00, 0.00, 201 
94.10, 84.40, 12.00, 56.50, 31.20, 0.99, 6.90, 6.30, 0.05, 0.00, 0.00, 0.30, 0.00, 0.00, 0.00, 0.00, 201 
92.80, 83.80, 11.30, 58.40, 30.00, 0.96, 6.70, 5.50, 0.07, 0.00, 0.00, 0.40, 0.00, 0.00, 0.00, 0.00, 201 
92.50, 83.50, 10.30, 58.50, 30.80, 0.80, 6.60, 5.50, 0.05, 0.00, 0.00, 0.00, 0.30, 0.00, 0.00, 0.00, 201 
93.30, 84.10, 13.60, 54.10, 31.50, 0.78, 7.00, 5.30, 0.14, 0.00, 0.00, 0.50, 0.30, 0.00, 0.00, 0.00, 201 
93.40, 84.20, 17.90, 54.80, 25.50, 0.50, 4.90, 3.60, 0.29, 0.00, 0.00, 0.40, 0.00, 0.40, 1.00, 0.00, 201 
92.50, 83.80, 18.00, 54.10, 25.90, 0.44, 5.10, 3.60, 0.33, 0.00, 0.00, 0.40, 0.00, 0.60, 1.00, 0.00, 201 
94.40, 84.90, 12.10, 53.40, 39.80, 0.57, 8.10, 8.40, 0.07, 0.00, 0.20, 0.00, 0.00, 0.00, 0.00, 0.00, 202 
94.40, 85.00, 13.20, 51.80, 34.40, 0.52, 8.30, 8.20, 0.13, 0.00, 0.20, 0.30, 0.00, 0.00, 0.00, 0.00, 202 
93.90, 84.30, 12.10, 51.30, 35.90, 0.49, 8.70, 8.40, 0.16, 0.00, 0.20, 0.30, 0.20, 0.00, 0.00, 0.00, 202 
93.40, 83.90, 12.00, 51.20, 36.20, 0.55, 8.10, 7.00, 0.14, 0.00, 0.20, 0.00, 0.40, 0.00, 0.00, 0.00, 202 
95.10, 85.20, 12.20, 51.90, 35.30, 0.56, 8.10, 8.10, 0.12, 0.00, 0.00, 0.30, 0.40, 0.00, 0.00, 0.00, 202 
93.50, 84.20, 13.40, 53.70, 32.70, 2.15, 6.70, 6.60, 0.07, 0.00, 0.20, 0.00, 0.00, 0.00, 0.00, 0.00, 202 
94.50, 84.80, 15.60, 52.00, 31.70, 2.16, 6.70, 6.60, 0.13, 0.00, 0.20, 0.30, 0.00, 0.00, 0.00, 0.00, 202 
93.80, 84.60, 14.40, 52.90, 32.20, 2.20, 7.00, 6.90, 0.13, 0.00, 0.20, 0.30, 0.00, 0.00, 0.00, 0.00, 202 
93.80, 84.60, 13.90, 53.30, 32.30, 2.02, 6.90, 6.90, 0.13, 0.00, 0.20, 0.30, 0.00, 0.00, 0.00, 0.00, 202 
93.70, 84.60, 10.40, 55.20, 34.00, 1.20, 7.30, 7.30, 0.14, 0.00, 0.30, 0.00, 0.20, 0.00, 0.00, 0.00, 202 
94.30, 84.50, 14.40, 51.90, 33.00, 2.12, 6.80, 6.70, 0.12, 0.00, 0.00, 0.50, 0.30, 0.00, 0.00, 0.00, 202 
93.90, 84.40, 12.00, 51.10, 36.50, 0.52, 8.60, 8.70, 0.11, 0.00, 0.20, 0.00, 0.50, 0.00, 0.00, 0.00, 202 
95.10, 85.10, 13.60, 51.00, 34.50, 0.51, 7.50, 7.30, 0.14, 0.00, 0.00, 0.40, 0.50, 0.00, 0.00, 0.00, 202 
94.50, 84.80, 16.20, 52.50, 30.90, 2.07, 6.40, 6.20, 0.15, 0.00, 0.20, 0.40, 0.00, 0.20, 0.00, 0.00, 202 
92.40, 83.60, 10.50, 59.50, 25.10, 0.43, 6.10, 5.50, 0.89, 0.00, 0.00, 4.90, 0.00, 0.00, 0.00, 0.00, 203 
92.90, 83.90, 17.50, 53.20, 23.90, 0.81, 6.50, 5.70, 0.99, 0.00, 0.00, 5.40, 0.00, 0.00, 0.00, 0.00, 203 
93.70, 83.80, 18.30, 51.00, 25.50, 0.81, 6.30, 5.80, 0.94, 0.00, 0.00, 4.90, 0.00, 0.30, 0.00, 0.00, 203 
95.10, 86.00, 20.10, 51.40, 23.10, 0.94, 6.20, 6.00, 0.98, 0.00, 0.00, 5.10, 0.00, 0.30, 0.00, 0.00, 203 
90.50, 83.70, 11.20, 62.60, 20.80, 0.53, 4.00, 5.70, 0.90, 0.00, 0.00, 0.90, 0.00, 4.50, 0.00, 0.00, 203 
94.80, 85.00, 12.40, 50.70, 25.70, 0.65, 6.80, 6.60, 2.02, 0.00, 0.00, 11.10, 0.00, 0.00, 0.00, 0.00, 301 
94.30, 84.90, 8.80, 53.50, 24.00, 0.81, 6.10, 5.50, 2.47, 0.00, 0.00, 13.40, 0.00, 0.00, 0.00, 0.00, 301 
95.30, 85.30, 9.60, 50.10, 26.20, 0.82, 6.90, 6.10, 2.50, 0.00, 0.00, 13.10, 0.30, 0.00, 0.00, 0.00, 301 
94.80, 84.80, 9.50, 54.10, 24.40, 0.53, 6.00, 5.40, 2.21, 0.00, 0.00, 11.30, 0.50, 0.00, 0.00, 0.00, 301 
94.40, 84.40, 12.40, 46.40, 28.20, 0.41, 6.80, 6.50, 2.20, 0.00, 0.00, 10.80, 0.00, 1.00, 1.20, 0.00, 301 
96.30, 85.40, 13.70, 46.90, 27.30, 0.81, 6.10, 6.60, 2.18, 0.00, 0.00, 10.40, 0.00, 0.60, 1.20, 0.00, 301 
95.50, 85.00, 12.40, 46.00, 26.90, 0.09, 6.70, 6.10, 2.63, 0.00, 0.00, 12.80, 0.00, 0.70, 1.20, 0.00, 301 
94.30, 85.10, 12.10, 51.10, 24.10, 0.61, 6.60, 7.10, 2.33, 0.00, 0.00, 12.80, 0.00, 0.00, 0.00, 0.00, 301 
95.30, 85.60, 10.80, 50.20, 25.20, 0.50, 6.50, 6.10, 2.51, 0.00, 0.00, 13.50, 3.00, 0.00, 0.00, 0.00, 301 
94.80, 85.10, 10.60, 51.40, 25.00, 0.62, 6.40, 6.60, 2.37, 0.00, 0.00, 12.80, 0.20, 0.00, 0.00, 0.00, 301 
95.00, 85.00, 12.50, 45.10, 30.20, 0.51, 7.50, 6.80, 2.18, 0.00, 0.00, 9.80, 0.00, 1.10, 1.40, 0.00, 301 
95.10, 85.00, 11.70, 45.80, 29.90, 0.50, 7.50, 6.60, 2.26, 0.00, 0.00, 10.20, 0.00, 1.10, 1.40, 0.00, 301 
94.60, 84.80, 12.30, 50.90, 23.40, 0.51, 5.90, 5.50, 2.44, 0.00, 0.00, 13.20, 0.20, 0.00, 0.00, 0.00, 301 
94.50, 85.00, 10.90, 51.90, 23.70, 0.58, 6.10, 6.50, 2.46, 0.00, 0.20, 12.30, 0.90, 0.00, 0.00, 0.00, 301 
95.70, 86.10, 9.80, 52.30, 25.60, 0.60, 6.20, 7.00, 2.47, 0.50, 0.30, 11.10, 0.00, 0.40, 0.00, 0.00, 301 
94.70, 84.80, 8.70, 50.80, 25.70, 0.85, 6.30, 5.60, 2.67, 0.00, 0.00, 13.60, 0.50, 0.70, 0.00, 0.00, 301 
94.80, 84.60, 11.30, 50.00, 24.80, 0.46, 5.70, 5.50, 2.50, 0.00, 0.00, 12.40, 0.60, 0.90, 0.00, 0.00, 301 
96.70, 86.60, 9.10, 47.20, 31.10, 0.27, 4.20, 15.00, 2.54, 0.60, 0.30, 9.60, 0.60, 1.60, 0.00, 0.00, 301 
94.00, 84.60, 12.40, 48.60, 28.40, 0.22, 7.20, 6.40, 1.90, 0.00, 0.00, 8.70, 0.00, 0.70, 1.30, 0.00, 301 
97.50, 84.50, 17.10, 43.60, 28.50, 0.41, 5.80, 4.80, 1.91, 0.00, 0.00, 8.30, 0.60, 1.20, 0.70, 0.00, 301 
95.10, 85.90, 10.90, 52.60, 24.80, 0.65, 6.00, 7.80, 2.32, 0.40, 0.30, 9.80, 0.00, 1.30, 0.00, 0.00, 301 
95.40, 85.70, 9.50, 52.60, 26.10, 0.56, 5.70, 7.20, 2.26, 0.40, 0.00, 9.70, 0.30, 1.40, 0.00, 0.00, 301 
95.10, 84.90, 6.70, 51.80, 28.90, 0.57, 5.70, 6.70, 2.39, 0.50, 0.00, 9.20, 0.90, 1.90, 0.00, 0.00, 301 
95.10, 85.70, 9.80, 51.10, 26.80, 0.73, 5.90, 7.30, 2.33, 0.30, 0.30, 7.80, 0.00, 3.90, 0.00, 0.00, 301 
94.80, 86.20, 12.00, 51.40, 23.20, 0.45, 4.30, 11.60, 2.70, 0.30, 0.30, 6.80, 0.00, 5.30, 0.00, 0.00, 301 
95.60, 85.40, 16.60, 45.20, 25.70, 0.66, 6.00, 7.20, 2.13, 0.00, 0.00, 4.80, 0.30, 7.40, 0.00, 0.00, 301 
95.20, 85.00, 16.40, 45.70, 25.20, 0.66, 5.90, 6.90, 2.19, 0.00, 0.20, 4.50, 0.40, 7.60, 0.00, 0.00, 301 
95.10, 85.10, 10.50, 48.00, 27.70, 0.50, 6.40, 7.30, 2.29, 0.00, 0.00, 4.10, 0.80, 8.50, 0.30, 0.00, 301 
82.40, 77.00, 2.50, 67.70, 29.20, 3.34, 5.20, 9.40, 0.10, 0.20, 0.00, 0.00, 0.40, 0.00, 0.00, 0.00, 100 
80.10, 75.90, 3.30, 72.60, 23.50, 3.14, 4.10, 8.40, 0.12, 0.20, 0.00, 0.00, 0.30, 0.30, 0.00, 0.00, 100 
80.00, 76.10, 3.20, 75.90, 20.20, 3.05, 3.60, 7.00, 0.11, 0.00, 0.00, 0.00, 0.30, 0.40, 0.00, 0.00, 100 
80.90, 77.20, 4.10, 76.00, 18.80, 3.57, 3.80, 7.10, 0.17, 0.00, 0.00, 0.50, 0.00, 0.50, 0.00, 0.00, 100 
94.40, 85.50, 10.40, 51.00, 23.80, 0.37, 3.50, 10.90, 2.31, 0.30, 0.20, 4.90, 0.70, 6.40, 0.20, 0.00, 301 
94.50, 85.60, 12.60, 50.80, 24.10, 0.37, 3.60, 11.10, 2.28, 0.20, 0.20, 5.00, 0.60, 6.20, 0.30, 0.00, 301 
98.20, 88.10, 3.00, 48.90, 33.00, 0.37, 8.30, 9.60, 2.80, 0.00, 0.30, 14.40, 0.40, 0.00, 0.00, 0.00, 401 
98.00, 88.30, 3.00, 49.70, 32.80, 0.34, 7.30, 10.80, 2.54, 0.00, 0.40, 5.40, 0.90, 7.80, 0.00, 0.00, 401 
82.00, 76.60, 1.60, 69.10, 28.80, 3.18, 4.90, 8.90, 0.08, 0.30, 0.00, 0.00, 0.50, 0.00, 0.00, 0.00, 100 
83.70, 77.60, 2.80, 63.40, 33.20, 3.50, 6.20, 11.10, 0.12, 0.00, 0.00, 0.30, 0.00, 0.40, 0.00, 0.00, 100 
81.00, 76.50, 4.30, 71.10, 23.80, 3.44, 4.50, 8.90, 0.14, 0.00, 0.00, 0.30, 0.00, 0.50, 0.00, 0.00, 100 
80.50, 76.20, 1.60, 73.00, 24.10, 3.84, 4.60, 9.00, 0.30, 0.20, 0.00, 0.50, 0.00, 0.50, 0.00, 0.00, 100 
82.50, 76.80, 0.90, 65.30, 32.70, 3.94, 5.70, 11.00, 0.26, 0.20, 0.00, 0.00, 0.00, 0.60, 0.00, 0.00, 100 
79.40, 75.10, 0.00, 73.10, 25.60, 3.52, 3.70, 7.90, 0.35, 0.40, 0.00, 0.20, 0.00, 0.60, 0.00, 0.00, 100 
80.70, 76.60, 4.00, 72.40, 22.70, 3.29, 4.30, 8.10, 0.17, 0.00, 0.00, 0.40, 0.00, 0.60, 0.00, 0.00, 100 
81.10, 76.50, 2.30, 72.00, 24.30, 3.69, 4.70, 8.80, 0.24, 0.20, 0.00, 0.60, 0.00, 0.60, 0.00, 0.00, 100 
79.30, 76.00, 0.50, 77.50, 20.40, 3.83, 3.50, 7.60, 0.40, 0.30, 0.00, 0.70, 0.00, 0.70, 0.00, 0.00, 100 
80.10, 76.00, 1.00, 74.10, 23.20, 4.04, 4.30, 8.60, 0.35, 0.20, 0.00, 0.60, 0.00, 0.80, 0.00, 0.00, 100 
80.30, 76.30, 0.70, 74.20, 23.40, 3.84, 4.40, 8.50, 0.37, 0.20, 0.00, 0.70, 0.00, 0.80, 0.00, 0.00, 100 
75.20, 77.40, 5.80, 69.10, 21.50, 3.75, 4.00, 6.30, 0.56, 0.00, 0.00, 0.50, 0.00, 1.20, 1.80, 0.00, 100 
75.10, 78.80, 6.30, 71.80, 21.80, 3.94, 3.50, 4.20, 0.70, 0.00, 0.00, 0.80, 0.00, 1.50, 1.90, 0.00, 100 
81.20, 76.50, 4.50, 68.80, 25.70, 3.50, 5.00, 9.50, 0.17, 0.00, 0.00, 0.40, 0.00, 0.60, 0.00, 0.00, 100 
81.50, 76.90, 1.40, 70.30, 26.60, 3.83, 5.00, 9.50, 0.31, 0.20, 0.00, 0.60, 0.00, 0.60, 0.00, 0.00, 100 
80.10, 76.00, 0.00, 73.10, 25.40, 3.71, 4.10, 8.50, 0.35, 0.30, 0.00, 0.40, 0.00, 0.70, 0.00, 0.00, 100 
79.40, 75.80, 0.00, 74.40, 24.10, 3.81, 4.00, 8.40, 0.37, 0.30, 0.00, 0.50, 0.00, 0.70, 0.00, 0.00, 100 
80.00, 75.90, 0.00, 73.20, 25.30, 3.66, 4.10, 8.50, 0.37, 0.30, 0.00, 0.50, 0.00, 0.70, 0.00, 0.00, 100 
80.20, 75.90, 2.10, 70.30, 26.20, 3.73, 5.10, 9.70, 0.33, 0.20, 0.00, 0.50, 0.00, 0.80, 0.00, 0.00, 100 
80.20, 75.90, 2.10, 70.30, 26.20, 3.73, 5.10, 9.70, 0.33, 0.20, 0.00, 0.50, 0.00, 0.80, 0.00, 0.00, 100 
