@relation ps001_c8_a16_t_10-11
@attribute RON real 
@attribute MON real 
@attribute OLF real 
@attribute ALK real
@attribute AROMA real 
@attribute AR_BNZ real
@attribute AR_KS real
@attribute AR_TL real
@attribute MOX real 
@attribute MMETANOL real 
@attribute METANOL real 
@attribute MMTBE  real 
@attribute METBE real 
@attribute MTAME real 
@attribute MDIPE  real 
@attribute MTBS real 

@attribute class {100, 101, 201, 202, 203, 301, 302, 401}

@data
93.80, 84.40, 13.20, 56.10, 30.20, 0.89, 6.10, 5.20, 0.07, 0.00, 0.00, 0.40, 0.00, 0.00, 0.00, 0.00, 201 
93.90, 84.50, 14.30, 55.20, 29.80, 0.96, 6.30, 5.50, 0.14, 0.00, 0.00, 0.60, 0.00, 0.00, 0.00, 0.00, 201 
94.30, 84.50, 14.50, 53.70, 31.10, 0.96, 6.20, 5.50, 0.13, 0.00, 0.00, 0.70, 0.00, 0.00, 0.00, 0.00, 201 
94.40, 84.60, 15.00, 53.60, 30.60, 0.97, 6.50, 5.60, 0.15, 0.00, 0.00, 0.80, 0.00, 0.00, 0.00, 0.00, 201 
96.80, 87.10, 10.10, 52.80, 31.70, 0.93, 7.70, 7.60, 0.98, 0.00, 0.00, 5.10, 0.00, 0.00, 0.30, 2.00, 302 
92.90, 84.20, 11.00, 56.80, 29.60, 0.80, 5.80, 4.80, 0.46, 0.00, 0.00, 2.20, 0.00, 0.00, 0.40, 0.00, 302 
96.00, 86.30, 10.90, 50.80, 33.30, 0.96, 7.40, 7.20, 0.96, 0.00, 0.00, 4.90, 0.00, 0.00, 0.20, 0.00, 302 
96.00, 86.30, 10.90, 50.60, 33.30, 0.96, 7.40, 7.30, 0.96, 0.00, 0.00, 4.90, 0.00, 0.20, 0.20, 0.00, 302 
96.10, 86.40, 11.20, 51.30, 32.20, 0.97, 7.10, 7.00, 0.96, 0.00, 0.00, 5.10, 0.00, 0.00, 0.20, 0.00, 302 
93.30, 83.80, 1.50, 51.70, 35.50, 0.14, 9.50, 7.50, 0.37, 0.00, 0.00, 0.40, 0.00, 0.80, 1.10, 0.00, 202 
93.30, 83.60, 10.10, 52.00, 35.30, 0.09, 9.50, 7.30, 0.40, 0.00, 0.00, 0.30, 0.30, 0.80, 1.10, 0.00, 202 
93.10, 83.70, 10.70, 51.00, 35.70, 0.08, 9.70, 7.40, 0.42, 0.00, 0.00, 0.40, 0.00, 0.90, 1.30, 0.00, 202 
92.80, 85.10, 3.00, 54.20, 42.00, 0.32, 9.80, 11.40, 0.12, 0.00, 0.00, 0.00, 0.40, 0.00, 0.40, 0.00, 202 
94.20, 85.70, 0.40, 54.90, 4.70, 0.13, 10.30, 12.30, 0.18, 0.00, 0.00, 0.20, 0.50, 0.00, 0.40, 0.00, 202 
94.80, 85.40, 13.30, 51.40, 33.70, 0.05, 8.70, 6.50, 0.25, 0.00, 0.00, 0.00, 0.40, 0.60, 0.60, 0.00, 202 
93.90, 83.80, 13.60, 50.80, 34.10, 0.14, 8.60, 6.80, 0.24, 0.00, 0.00, 0.20, 0.00, 0.60, 0.70, 0.00, 202 
95.60, 84.90, 8.80, 49.20, 35.70, 0.61, 6.60, 10.20, 1.13, 0.00, 0.00, 4.50, 0.70, 0.70, 0.00, 6.00, 301 
95.60, 84.30, 10.80, 46.00, 35.60, 0.67, 6.20, 9.90, 1.45, 0.00, 0.20, 6.10, 0.60, 0.80, 0.00, 6.00, 301 
97.60, 86.60, 11.60, 47.70, 34.60, 0.78, 7.40, 10.30, 1.12, 0.00, 0.00, 5.60, 0.20, 0.00, 0.00, 5.00, 301 
